,Ancestry,Donor Category,Date,Mean
33,Asian,ID Graduate,03/11/2022,6.375
39,Asian,ID Graduate,03/17/2022,6.375
34,Asian,ID Graduate,03/12/2022,6.375
35,Asian,ID Graduate,03/13/2022,6.375
40,Asian,ID Graduate,03/18/2022,6.375
41,Asian,ID Graduate,03/19/2022,6.375
42,Asian,ID Graduate,03/20/2022,6.375
43,Asian,ID Graduate,03/21/2022,6.375
232,Caucasian,Non-ID,03/12/2022,6.3428571428571425
307,Latino,ID Graduate,03/21/2022,6.333333333333333
306,Latino,ID Graduate,03/20/2022,6.333333333333333
354,Multi,ID,03/02/2022,6.333333333333333
233,Caucasian,Non-ID,03/13/2022,6.314285714285714
364,Multi,ID,03/12/2022,6.3
363,Multi,ID,03/11/2022,6.25
259,Caucasian,Non-ID Graduate,03/17/2022,6.2105263157894735
352,Multi,ID,02/28/2022,6.2
353,Multi,ID,03/01/2022,6.2
261,Caucasian,Non-ID Graduate,03/19/2022,6.166666666666667
260,Caucasian,Non-ID Graduate,03/18/2022,6.166666666666667
238,Caucasian,Non-ID,03/18/2022,6.135135135135135
262,Caucasian,Non-ID Graduate,03/20/2022,6.111111111111111
263,Caucasian,Non-ID Graduate,03/21/2022,6.111111111111111
30,Asian,ID Graduate,03/08/2022,6.0588235294117645
367,Multi,ID,03/15/2022,6.05
230,Caucasian,Non-ID,03/10/2022,6.027027027027027
374,Multi,ID Graduate,02/28/2022,6.0
361,Multi,ID,03/09/2022,6.0
38,Asian,ID Graduate,03/16/2022,6.0
37,Asian,ID Graduate,03/15/2022,6.0
285,Latino,ID,03/21/2022,6.0
271,Latino,ID,03/07/2022,6.0
36,Asian,ID Graduate,03/14/2022,6.0
241,Caucasian,Non-ID,03/21/2022,5.972972972972973
368,Multi,ID,03/16/2022,5.947368421052632
264,Latino,ID,02/28/2022,5.857142857142857
366,Multi,ID,03/14/2022,5.85
365,Multi,ID,03/13/2022,5.85
240,Caucasian,Non-ID,03/20/2022,5.815789473684211
239,Caucasian,Non-ID,03/19/2022,5.815789473684211
234,Caucasian,Non-ID,03/14/2022,5.815789473684211
237,Caucasian,Non-ID,03/17/2022,5.7894736842105265
229,Caucasian,Non-ID,03/09/2022,5.7368421052631575
228,Caucasian,Non-ID,03/08/2022,5.7368421052631575
202,Caucasian,ID Graduate,03/04/2022,5.666666666666667
224,Caucasian,Non-ID,03/04/2022,5.641025641025641
226,Caucasian,Non-ID,03/06/2022,5.641025641025641
220,Caucasian,Non-ID,02/28/2022,5.6
373,Multi,ID,03/21/2022,5.588235294117647
372,Multi,ID,03/20/2022,5.588235294117647
371,Multi,ID,03/19/2022,5.588235294117647
221,Caucasian,Non-ID,03/01/2022,5.575
225,Caucasian,Non-ID,03/05/2022,5.55
377,Multi,ID Graduate,03/03/2022,5.5
376,Multi,ID Graduate,03/02/2022,5.5
378,Multi,ID Graduate,03/04/2022,5.5
91,Black,ID,03/03/2022,5.5
136,Black,Non-ID,03/04/2022,5.5
134,Black,Non-ID,03/02/2022,5.5
142,Black,Non-ID,03/10/2022,5.5
141,Black,Non-ID,03/09/2022,5.5
140,Black,Non-ID,03/08/2022,5.5
139,Black,Non-ID,03/07/2022,5.5
138,Black,Non-ID,03/06/2022,5.5
137,Black,Non-ID,03/05/2022,5.5
90,Black,ID,03/02/2022,5.5
135,Black,Non-ID,03/03/2022,5.5
133,Black,Non-ID,03/01/2022,5.5
132,Black,Non-ID,02/28/2022,5.5
104,Black,ID,03/16/2022,5.5
102,Black,ID,03/14/2022,5.5
101,Black,ID,03/13/2022,5.5
88,Black,ID,02/28/2022,5.5
89,Black,ID,03/01/2022,5.5
203,Caucasian,ID Graduate,03/05/2022,5.476190476190476
369,Multi,ID,03/17/2022,5.473684210526316
204,Caucasian,ID Graduate,03/06/2022,5.428571428571429
222,Caucasian,Non-ID,03/02/2022,5.414634146341464
223,Caucasian,Non-ID,03/03/2022,5.414634146341464
205,Caucasian,ID Graduate,03/07/2022,5.409090909090909
370,Multi,ID,03/18/2022,5.388888888888889
206,Caucasian,ID Graduate,03/08/2022,5.35
227,Caucasian,Non-ID,03/07/2022,5.341463414634147
385,Multi,ID Graduate,03/11/2022,5.333333333333333
387,Multi,ID Graduate,03/13/2022,5.333333333333333
388,Multi,ID Graduate,03/14/2022,5.333333333333333
384,Multi,ID Graduate,03/10/2022,5.333333333333333
383,Multi,ID Graduate,03/09/2022,5.333333333333333
386,Multi,ID Graduate,03/12/2022,5.333333333333333
199,Caucasian,ID Graduate,03/01/2022,5.315789473684211
